school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,19,U,LE3,T,0,2,services,health,home,mother,1,4,2,no,no,no,yes,yes,no,no,yes,4,4,3,1,1,5,7,14.575808869873496,13.152866041997479,19.692025512426305
GP,F,20,U,GT3,T,2,4,health,other,reputation,father,2,3,1,yes,no,yes,no,no,yes,no,no,2,1,2,5,2,5,7,9.07098204223569,11.944029618667122,13.004877205045187
MS,F,21,U,GT3,T,0,4,health,services,other,mother,2,4,2,no,no,no,no,yes,no,no,no,1,4,3,1,2,2,14,18.617359058032193,18.30118683286701,20.0
GP,F,15,U,GT3,T,0,4,health,health,other,mother,4,2,0,no,no,yes,no,no,yes,no,no,1,1,2,1,3,2,10,10.845100413574654,11.204514683297875,13.07016440917077
GP,F,21,R,GT3,A,1,0,at_home,health,home,other,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,2,4,3,2,4,19,16.306934160297654,2.1017686633351005,11.114355857564256
GP,M,15,R,LE3,T,1,1,services,other,home,father,2,1,0,yes,no,no,no,yes,no,yes,yes,4,4,4,4,4,1,0,14.425622274966578,5.896982892679842,13.342646023192659
GP,M,15,U,LE3,T,3,3,health,services,reputation,mother,2,1,3,no,no,no,no,yes,yes,yes,yes,3,5,4,3,3,4,28,9.125697559013416,8.411620023959264,8.338088083729676
GP,M,22,U,LE3,T,4,0,health,other,other,father,3,1,0,no,yes,no,no,no,yes,yes,yes,2,2,4,1,2,3,15,10.745901915944584,20.0,18.806016183683084
MS,F,18,U,GT3,T,0,1,health,at_home,home,father,1,1,1,yes,no,yes,no,yes,yes,no,yes,3,4,4,4,4,5,29,9.382748542141858,11.889830587107674,10.011771011157693
GP,M,18,R,GT3,T,4,1,teacher,health,reputation,other,2,1,0,no,no,no,no,yes,no,no,no,3,4,5,4,2,1,13,7.9670421071802355,15.325594731759043,12.102385035453572
MS,F,17,U,GT3,T,3,2,at_home,other,reputation,mother,4,4,3,yes,yes,no,no,no,no,no,yes,1,2,3,4,4,2,6,11.24033617015022,15.021627308993295,14.792804836176124
GP,M,16,R,GT3,T,0,2,teacher,health,home,other,3,4,1,yes,yes,yes,yes,yes,no,yes,no,4,2,2,5,1,3,5,8.404199544111178,8.199277613825352,13.34785168481584
MS,M,19,U,LE3,T,0,0,at_home,services,other,mother,3,1,0,yes,no,no,yes,yes,yes,yes,no,1,2,4,1,4,3,20,11.475157917012327,6.620625646992222,11.936002660814795
GP,M,19,R,LE3,A,4,2,health,teacher,course,father,1,2,1,no,yes,yes,yes,no,yes,no,yes,2,3,5,2,1,5,3,17.798870072257984,13.9269400877687,20.0
GP,F,19,U,GT3,T,2,1,services,other,course,mother,1,4,1,yes,no,no,yes,yes,yes,yes,yes,3,5,5,3,4,2,21,14.090064473861672,5.338638745488295,12.949072645160847
MS,M,17,R,LE3,T,1,2,other,other,reputation,mother,3,2,3,yes,no,no,no,yes,yes,yes,no,2,1,5,5,4,1,7,10.328610334204775,14.932977410895319,14.459651795595175
MS,M,18,U,GT3,T,2,4,other,health,course,father,4,2,3,yes,no,no,no,no,no,no,yes,4,4,3,3,2,2,21,10.083830038420755,11.648834030744208,11.468051469639178
MS,F,20,U,GT3,T,4,2,health,services,course,father,1,3,1,no,yes,no,yes,yes,yes,no,yes,4,1,4,2,4,5,18,10.796639081487271,13.848162706611308,14.299496448082648
GP,M,21,U,LE3,A,1,1,teacher,at_home,home,mother,1,3,0,no,no,no,yes,yes,yes,no,no,5,2,5,4,2,3,24,18.213397781282303,12.910326750873024,15.448711578777425
MS,F,22,R,GT3,A,2,0,services,services,reputation,other,3,1,3,no,no,no,yes,yes,yes,yes,no,2,5,5,2,4,5,2,8.734936646780985,13.070485495973884,14.007230336850826
GP,M,21,U,GT3,A,1,3,at_home,other,other,mother,3,2,1,yes,yes,yes,no,yes,no,no,no,1,5,4,3,5,4,3,11.994692931422275,12.313459624817062,16.062837758234096
GP,F,20,R,LE3,A,0,2,health,at_home,reputation,father,1,4,2,no,no,yes,no,no,yes,no,no,2,3,3,2,3,3,12,13.396088771195487,12.844805261887148,15.053462995953812
MS,F,22,R,GT3,A,2,1,services,services,home,other,2,3,2,no,no,no,no,no,no,no,no,3,2,5,1,2,5,20,15.646466164874349,12.138255040621393,13.71137367174511
MS,M,17,U,GT3,A,1,3,services,teacher,course,father,1,3,3,yes,no,no,yes,no,no,yes,yes,4,4,2,2,2,1,26,11.001987604461597,7.8705796767257805,8.983280321244976
GP,F,20,U,LE3,A,1,3,at_home,health,other,father,2,2,0,yes,no,yes,yes,no,yes,yes,no,4,3,1,1,1,1,1,9.111972917731539,10.818424298492356,13.583416524657597
GP,F,19,U,GT3,A,1,4,services,services,reputation,other,3,3,2,no,no,yes,yes,yes,yes,no,no,2,2,1,2,5,1,10,12.868502167401388,18.509312246251994,15.870703311280566
MS,F,16,R,LE3,A,2,3,teacher,services,course,father,2,3,2,no,no,no,yes,no,yes,no,no,2,3,1,1,1,4,15,15.94399119292613,12.942347548132176,16.27117719790582
MS,F,15,U,GT3,A,3,1,teacher,teacher,reputation,father,4,4,2,yes,yes,no,yes,no,yes,yes,yes,2,1,3,1,5,2,9,11.181350091721116,15.427348689005285,16.220727458359686
MS,F,21,R,LE3,A,2,1,teacher,other,other,father,3,2,0,no,no,no,no,yes,no,yes,no,3,2,5,2,5,1,14,9.481746568020846,9.050570621199444,11.02415959227964
GP,F,18,R,LE3,A,4,2,services,health,reputation,father,1,3,0,yes,no,no,no,yes,no,no,no,3,4,1,5,4,4,26,12.330620637702372,8.998342095795815,12.099086207811675
GP,M,18,U,LE3,A,2,2,teacher,services,reputation,father,1,2,3,yes,yes,no,no,yes,no,yes,yes,1,4,1,4,1,1,9,7.129238743095485,8.389642726126654,10.159659125449743
GP,F,17,U,GT3,A,1,2,at_home,at_home,reputation,father,3,3,3,no,no,no,no,no,no,no,no,2,2,4,4,3,4,1,11.344023428244704,8.004693028836321,13.225679139669083
GP,F,22,U,LE3,A,0,3,services,services,course,father,3,4,2,no,no,yes,no,yes,no,no,no,1,3,5,4,5,1,5,15.534077049576865,7.132804509732294,13.288911321955279
GP,M,18,U,LE3,A,2,3,other,health,other,father,4,2,0,no,yes,no,yes,yes,no,yes,no,5,5,5,1,5,2,13,14.624540481358972,12.69964368074504,16.463494171213387
GP,M,19,U,LE3,T,2,4,services,services,other,father,3,3,1,no,yes,no,no,yes,no,no,yes,3,2,4,4,2,5,1,11.56840717832574,10.932543493985364,13.486751459668561
MS,M,21,U,LE3,A,1,2,at_home,teacher,course,mother,1,4,2,yes,yes,yes,yes,no,no,no,yes,4,4,5,1,4,1,9,16.977988179343704,14.626484649785164,19.08349360556069
GP,M,20,R,LE3,T,0,0,other,services,course,mother,4,3,3,no,yes,yes,no,no,no,yes,no,5,1,2,5,3,5,16,17.72962460372699,11.068810545134804,18.54331026897219
GP,M,19,R,GT3,A,0,4,services,services,course,father,1,2,0,no,yes,yes,yes,no,no,no,no,4,4,3,2,5,1,7,13.992258686310667,4.790280627056063,13.428016110708363
GP,M,17,R,GT3,A,4,0,teacher,at_home,home,mother,2,3,3,no,yes,yes,yes,no,yes,yes,no,5,5,4,2,2,2,25,7.596685978034229,13.330850401924165,10.909576071184052
MS,M,19,U,GT3,T,2,3,health,teacher,reputation,other,3,2,3,yes,yes,no,yes,no,yes,no,yes,1,4,1,1,1,5,15,6.360264883884,5.908759272551642,7.674320897543514
GP,F,20,R,GT3,A,0,4,health,teacher,reputation,mother,2,2,0,no,no,yes,yes,no,yes,no,yes,1,5,5,1,5,4,13,16.150470493312568,12.643183042145054,16.45015473357825
GP,F,16,R,GT3,T,0,4,teacher,services,other,father,1,3,2,no,no,yes,yes,no,no,yes,yes,3,2,2,5,2,1,9,12.73418375448005,9.685927393152324,13.68879152180404
MS,M,17,R,GT3,T,3,1,health,at_home,reputation,father,2,4,0,yes,no,no,yes,yes,yes,yes,yes,4,4,2,4,1,1,12,16.906662535046692,12.697530100972376,18.33671950025736
GP,F,16,R,GT3,T,3,3,health,services,home,mother,2,1,2,yes,yes,yes,no,yes,no,yes,yes,5,3,3,5,4,4,0,7.983951775363488,7.669144328198702,11.649012169171192
GP,F,15,R,LE3,A,0,3,teacher,services,course,father,1,4,3,yes,no,yes,yes,yes,no,yes,yes,2,3,2,2,1,2,9,11.516444285342049,14.334976572436524,15.873828254748835
GP,F,16,U,GT3,A,4,4,teacher,health,other,other,1,4,0,yes,yes,no,yes,no,yes,yes,no,2,4,5,2,5,3,29,15.08757177061074,12.112828338911214,15.102114642364707
GP,M,15,U,LE3,A,0,3,services,health,other,other,3,3,1,yes,no,no,no,no,no,yes,yes,3,4,5,4,3,1,21,9.81063753753442,10.967390762929835,12.62233493488403
GP,M,15,R,LE3,T,1,4,services,at_home,reputation,father,2,4,2,no,no,no,yes,yes,yes,no,no,4,1,2,2,1,4,11,15.044355178972559,6.915748425441422,12.913855892243324
MS,F,16,R,GT3,T,2,1,teacher,other,other,other,4,4,1,yes,no,no,no,yes,no,yes,yes,2,4,5,1,3,3,29,11.631661418161984,17.431604524054674,15.897934157582153
MS,M,17,R,LE3,A,4,4,at_home,health,course,other,4,1,2,yes,no,no,no,no,no,no,no,3,1,5,2,3,1,16,12.084182419151738,9.279621853437199,11.53662543894539
MS,F,22,U,LE3,A,1,3,health,other,other,mother,1,4,0,yes,yes,no,yes,no,yes,yes,yes,3,1,1,3,1,5,23,8.44910131015651,12.788822336283287,12.352293085445137
GP,F,20,U,LE3,A,4,3,services,teacher,course,other,1,1,1,yes,yes,no,yes,no,yes,no,no,4,1,4,4,4,4,13,12.75415811657255,9.153363166271472,8.912799495075449
GP,F,19,R,LE3,A,1,4,health,health,home,mother,2,3,0,yes,no,yes,no,no,yes,no,no,2,1,5,4,1,5,4,18.57836904679312,20.0,20.0
GP,F,19,U,GT3,A,2,4,other,health,home,father,1,1,2,yes,yes,yes,yes,no,yes,yes,no,2,2,5,4,2,2,18,13.164065415895891,12.448264112078023,13.685691562017665
MS,M,20,U,GT3,T,2,4,teacher,at_home,course,mother,4,2,2,yes,yes,no,no,no,yes,no,yes,2,3,3,3,3,3,4,9.624827178332714,10.155936622387731,11.232814970499906
GP,M,21,R,GT3,T,3,2,at_home,other,reputation,father,3,2,2,yes,no,yes,yes,no,yes,no,yes,1,1,4,5,5,4,14,16.18662474023415,13.81727639265013,17.82236986975567
GP,M,21,U,GT3,T,1,3,other,health,other,father,3,1,2,no,yes,no,no,no,no,no,yes,2,3,4,1,3,1,12,9.715285418721216,14.25018539132017,12.47442724805099
MS,F,15,U,GT3,A,3,3,other,health,reputation,father,2,2,3,no,yes,yes,yes,yes,no,yes,no,5,1,4,4,5,1,16,17.163309717416094,13.183796806074792,15.438738373170853
GP,M,15,R,GT3,T,1,2,other,at_home,other,father,3,3,2,no,yes,no,yes,no,no,yes,no,1,3,2,2,2,3,0,8.175122614853564,11.029447669672832,13.97201388329714
MS,F,17,U,GT3,T,3,4,teacher,at_home,home,father,1,2,1,yes,yes,yes,no,no,no,no,no,1,4,1,1,2,5,27,12.81812522187384,13.32152151781087,14.021376552053537
MS,M,18,U,GT3,T,2,1,services,other,home,mother,1,1,2,yes,no,no,no,no,yes,yes,yes,1,4,1,2,2,5,13,16.578937487058447,11.533975337651972,15.743267597967808
MS,F,16,R,GT3,T,4,4,teacher,teacher,home,father,1,3,0,yes,no,yes,no,yes,no,yes,yes,1,3,3,1,1,4,3,9.399542614217564,11.924120420672981,13.892218754417987
GP,F,15,U,GT3,T,3,4,services,teacher,other,other,1,2,3,no,yes,no,no,yes,no,no,no,3,1,4,1,3,4,24,12.24948025019789,9.64376402003203,10.820482557523603
GP,F,19,U,LE3,A,1,2,other,services,home,other,2,3,1,yes,no,yes,yes,no,yes,no,yes,5,2,4,2,5,5,29,15.471867727062111,7.6096915319455665,13.47633176498406
GP,M,17,R,GT3,T,1,3,other,health,home,father,3,1,3,yes,no,yes,no,yes,no,yes,yes,4,3,5,2,2,4,8,5.233437083004935,13.689741002471505,10.713232565026534
GP,M,16,R,LE3,A,2,4,at_home,other,home,other,4,2,3,yes,no,no,no,yes,yes,yes,yes,2,5,2,1,2,5,16,14.78065125166493,13.818900550041288,16.0022693203741
GP,M,17,R,LE3,A,1,3,services,health,home,mother,3,3,3,no,yes,yes,yes,yes,yes,yes,yes,1,2,2,4,5,3,2,11.736220527248575,15.889916309757949,17.714222713202826
GP,M,16,U,LE3,A,0,0,other,other,reputation,mother,1,3,0,no,yes,yes,yes,no,yes,no,no,4,5,3,2,3,4,12,16.325862460687304,12.145543986658677,18.294586510989244
GP,F,16,R,LE3,A,4,3,health,other,home,father,4,2,3,yes,no,yes,no,no,no,yes,yes,3,3,1,3,3,5,11,9.51750814336095,11.35279887668835,13.568053496550073
MS,M,20,U,GT3,A,3,1,at_home,other,home,father,2,3,3,no,no,yes,yes,no,yes,yes,yes,4,1,4,3,5,4,15,7.8396724119252745,7.7705612919667715,11.193290098891307
GP,M,15,R,LE3,T,4,1,teacher,health,reputation,father,1,3,2,yes,yes,yes,no,no,no,yes,no,1,5,3,1,4,1,3,10.370890515211071,11.881428461505527,14.328368488099608
MS,F,22,U,GT3,T,2,4,at_home,at_home,reputation,other,1,1,0,yes,no,no,yes,no,no,no,no,5,3,2,5,3,1,17,10.308250591157368,13.080594408999648,12.80085936801056
GP,F,17,R,GT3,A,3,3,health,health,other,other,4,1,1,no,yes,no,no,no,no,no,yes,4,2,2,1,5,2,22,11.380542070601807,6.540784080263475,10.898225795823546
GP,F,22,R,LE3,A,3,4,services,other,course,mother,2,1,1,no,no,yes,yes,no,yes,no,yes,1,1,2,1,5,5,2,10.59426087134905,15.20706686759118,15.362938294083268
GP,M,17,R,GT3,A,0,2,teacher,services,home,other,4,1,1,no,yes,no,no,yes,yes,yes,yes,1,5,4,4,2,2,16,5.976304278707798,9.863887541376803,9.034136728050141
MS,F,20,R,LE3,T,2,1,teacher,teacher,home,mother,2,1,0,no,yes,yes,no,no,yes,yes,yes,2,3,4,4,5,5,0,11.715130891490638,11.411699153648598,15.336943048704114
MS,F,19,U,LE3,A,1,4,services,other,home,other,1,1,1,yes,yes,no,yes,no,no,no,no,2,1,4,5,1,4,18,12.695390128573889,13.793311951009429,14.774161105475299
MS,F,22,R,GT3,T,0,2,at_home,services,other,mother,3,2,0,yes,yes,yes,yes,no,no,yes,no,5,1,5,5,2,5,21,11.420272672623108,11.97806045919585,13.831581542463114
MS,M,19,R,GT3,A,0,4,other,at_home,home,father,1,1,2,no,no,yes,no,no,yes,yes,no,2,4,1,5,2,1,3,12.86048473500563,16.210083472119265,16.09154299319652
GP,F,21,U,LE3,T,4,3,at_home,other,course,other,3,3,2,no,yes,yes,no,no,no,yes,yes,5,1,2,5,3,4,16,12.254844235099887,13.886418452354123,15.763535484154415
MS,M,15,R,GT3,A,4,3,health,services,reputation,mother,3,2,0,yes,no,yes,yes,no,yes,no,yes,3,3,2,5,4,1,6,7.854019346475738,11.5550036810964,13.936183856317493
GP,M,15,U,GT3,T,4,3,other,other,other,other,2,3,1,yes,yes,no,yes,no,yes,yes,no,3,2,5,1,3,4,1,11.09744175311238,2.639251359304625,11.382230328332477
GP,F,18,R,GT3,A,0,3,at_home,health,reputation,father,4,1,0,yes,yes,no,yes,no,no,yes,yes,2,4,2,1,1,5,11,12.341699756709552,14.988560013285916,14.254359449325593
MS,F,20,R,LE3,T,1,0,services,services,home,mother,2,1,0,yes,no,no,yes,yes,no,no,no,3,3,2,3,2,5,4,11.288488106622204,8.461328934949826,12.180014541392252
MS,M,19,R,LE3,T,3,2,health,health,home,other,1,3,3,no,no,yes,yes,yes,yes,yes,no,4,3,4,3,2,1,15,7.5216296381141685,14.555594777165307,12.95200733736041
MS,F,16,U,GT3,T,4,2,health,health,home,other,4,3,0,no,no,no,yes,no,no,no,no,4,3,4,2,5,3,7,15.669338835204911,13.470567822419447,17.229378887582335
MS,F,17,R,GT3,T,1,3,health,services,course,father,3,3,3,no,yes,no,yes,no,yes,yes,no,4,5,1,1,4,5,22,9.083533039815473,11.403642056314403,12.57514917924011
MS,M,15,R,GT3,T,2,0,other,teacher,course,father,3,4,2,yes,yes,yes,yes,yes,yes,no,no,3,5,2,5,4,3,26,8.273410216134302,14.859873762907558,13.252909004699871
MS,M,22,R,GT3,T,4,3,teacher,services,other,mother,1,4,3,yes,no,yes,yes,no,no,no,no,4,2,3,2,5,4,27,12.122455699168306,13.563119272701336,14.951399055411244
MS,F,17,U,GT3,T,3,0,other,teacher,reputation,other,4,4,0,no,yes,yes,no,no,yes,yes,no,5,3,2,4,1,3,7,11.052729488342434,12.98508718600059,16.077744743239936
MS,M,17,U,LE3,A,2,3,at_home,other,home,other,1,4,2,no,no,no,yes,yes,no,yes,yes,1,5,2,1,4,1,12,13.804324780831822,6.851018670968359,13.978296271070258
GP,F,18,R,GT3,A,2,1,teacher,other,home,father,1,2,3,no,yes,no,yes,no,yes,no,no,2,5,1,3,2,2,25,14.617961806888642,12.11954471854597,12.07340363652025
MS,F,19,U,LE3,A,3,1,at_home,services,home,father,2,1,0,yes,yes,yes,no,no,no,yes,no,5,5,3,1,1,2,13,14.161694555364146,8.271521825010526,12.36395097447758
MS,F,15,R,GT3,A,4,4,teacher,other,home,mother,1,3,2,no,yes,no,no,no,no,no,yes,4,2,2,1,3,1,10,11.994650969242716,8.712186660988792,12.687686084259507
GP,M,17,R,LE3,A,0,3,other,at_home,course,other,4,1,3,yes,no,yes,no,yes,yes,yes,no,1,2,3,1,3,2,5,13.659892273203992,10.916572696164513,14.744395504337076
MS,F,15,R,GT3,T,3,2,health,health,reputation,other,1,3,0,no,yes,no,no,yes,no,yes,yes,2,3,4,1,1,1,15,7.3199607141057506,16.39025234393017,13.102807124523398
GP,F,16,R,LE3,T,3,4,services,health,reputation,mother,4,1,0,no,no,yes,no,no,no,yes,no,5,4,4,4,2,5,22,15.283082571842346,13.09617235308643,15.057732719601104
GP,F,18,R,GT3,T,3,1,health,teacher,other,mother,3,2,1,no,no,no,no,yes,yes,yes,yes,2,3,3,3,3,3,24,10.785511076765006,13.293805324815168,12.297935932793497
MS,M,16,R,LE3,T,2,3,other,other,course,father,1,4,1,yes,yes,no,yes,yes,no,no,yes,3,5,2,1,2,2,21,17.909813736194746,14.311280315718962,18.687213521183473
GP,M,15,R,LE3,T,1,4,teacher,teacher,home,father,4,1,3,yes,no,no,no,yes,yes,no,yes,4,5,3,4,5,5,24,15.374399930933667,9.375959095982173,11.223076258933396
GP,M,21,U,LE3,A,0,3,health,health,reputation,mother,3,3,3,yes,no,yes,no,no,no,yes,no,5,1,3,2,4,2,14,11.408143250971683,7.2707705765709605,10.357923466297802
GP,M,22,U,LE3,A,4,1,other,health,reputation,mother,4,1,3,yes,yes,yes,no,yes,yes,yes,yes,5,3,4,1,1,4,15,12.06423188521287,6.738051537773461,11.619784028923473
GP,M,15,U,LE3,A,4,4,at_home,other,course,other,3,2,0,yes,no,yes,yes,yes,yes,yes,no,1,5,3,4,4,1,12,15.552184843225445,12.693213223445762,16.365874223101653
MS,F,19,U,LE3,A,1,1,services,at_home,other,mother,2,2,3,yes,no,no,no,yes,yes,yes,no,1,5,5,5,5,1,11,5.219643510391738,14.960073659983502,10.305437457010514
GP,M,17,U,GT3,T,3,0,health,at_home,other,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,1,4,5,2,3,5,17,11.519307649603443,14.73824933974154,15.65521824512643
MS,M,17,U,LE3,T,0,1,teacher,other,home,other,1,4,3,yes,yes,no,no,yes,no,no,no,2,1,4,3,2,4,28,17.10427122132111,9.506856455066705,14.986068472082994
GP,M,16,U,GT3,T,4,3,at_home,other,other,mother,3,3,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,3,17,14.534560770075128,16.066486598625023,17.61618648928763
GP,F,22,R,GT3,A,4,2,other,teacher,reputation,father,2,2,0,yes,no,yes,yes,no,no,yes,no,2,2,2,1,5,4,13,9.486858375383825,18.129126730410952,16.380445682708327
GP,M,18,R,GT3,T,3,1,services,other,other,father,4,2,1,no,no,no,yes,yes,yes,no,no,4,3,4,4,1,4,1,12.94342383336224,13.82289527804442,17.00863094728342
GP,M,21,R,GT3,A,1,2,teacher,at_home,home,other,2,1,2,no,yes,no,no,yes,no,no,yes,5,3,2,3,4,3,21,9.069920413581626,16.461838881818707,13.625907732816756
MS,F,20,R,GT3,T,0,0,other,other,reputation,mother,4,2,0,yes,no,yes,yes,yes,yes,yes,no,2,4,1,5,3,3,1,10.975599381415082,14.619466813525136,16.66944351264425
MS,M,22,U,LE3,T,1,4,other,teacher,other,father,4,2,3,no,yes,yes,yes,no,no,no,no,2,3,5,2,1,4,2,13.00151285723209,11.310853219664656,15.50024874894151
GP,F,17,U,LE3,A,1,4,health,teacher,other,father,1,3,1,yes,yes,no,no,no,no,no,yes,2,4,1,3,5,2,28,13.529475544821956,10.006254552208599,12.082303206781418
GP,F,19,R,LE3,T,0,2,health,teacher,course,father,3,4,3,yes,yes,no,no,yes,yes,no,no,3,4,1,1,5,2,23,14.1882561726346,7.160765538972568,11.994868877597797
MS,F,22,R,GT3,T,0,4,teacher,teacher,home,father,1,3,3,yes,no,yes,no,yes,yes,no,yes,4,5,1,4,2,4,7,15.701361830878813,10.665712255998752,16.513703247018178
GP,F,16,U,LE3,A,4,1,other,services,other,mother,1,4,0,yes,no,no,yes,yes,yes,yes,yes,4,2,4,5,3,2,10,8.418821267172726,11.289505623103281,13.87957756338674
GP,F,16,R,LE3,T,4,2,health,other,course,mother,1,3,0,no,yes,yes,no,yes,no,no,no,2,4,1,4,1,3,11,12.072063083249533,11.355817818628475,16.078681452588278
GP,M,20,R,LE3,A,0,3,services,health,reputation,mother,4,1,2,yes,yes,yes,no,yes,no,no,no,3,1,3,2,2,3,3,9.44895870607731,11.662255606398158,13.284075461207276
MS,F,19,R,LE3,T,2,1,services,other,course,mother,1,2,0,no,no,yes,yes,yes,no,no,yes,2,1,2,3,3,2,8,10.803430808667317,5.118908249317331,10.238577112882261
MS,F,18,R,LE3,T,4,1,other,services,course,father,4,4,0,no,yes,no,yes,no,no,yes,no,4,2,4,4,4,3,23,9.736687170588716,14.337088613939141,15.452317705949984
MS,M,22,U,GT3,T,2,1,health,teacher,other,other,3,1,2,no,no,yes,no,yes,yes,no,yes,5,4,3,4,4,1,16,13.498210459853096,14.685260508193002,14.78819519706399
GP,F,19,R,LE3,T,0,3,teacher,services,other,other,4,2,3,yes,yes,yes,yes,yes,yes,no,yes,3,2,3,1,2,3,23,15.159057629819834,13.11309364795805,13.775765855087382
GP,M,18,R,GT3,T,4,0,teacher,at_home,other,father,4,2,2,no,yes,no,no,yes,yes,no,no,3,5,5,4,1,4,15,15.321042671947218,8.491963608702587,12.973172446897019
MS,M,19,U,GT3,T,1,4,teacher,at_home,course,father,2,2,2,yes,no,no,yes,no,yes,yes,yes,2,1,5,5,3,5,16,8.684480756942833,13.10095726965308,15.22163868850448
MS,M,19,U,GT3,T,0,2,services,other,reputation,other,1,3,2,no,no,no,no,yes,no,yes,no,5,3,3,3,4,2,14,11.630105860743004,12.067830071443664,13.435534564981804
MS,F,15,R,GT3,T,3,0,health,other,home,other,1,1,1,yes,no,yes,yes,no,no,yes,no,4,1,5,2,4,2,19,8.6012943217745,13.423448088751579,12.382518529910001
MS,F,16,U,GT3,A,2,2,health,health,course,father,1,1,3,yes,no,no,yes,yes,yes,yes,yes,1,4,2,4,1,3,25,8.501315316013926,16.653367768399242,12.088635426632534
GP,F,22,R,LE3,A,0,4,services,health,other,father,1,2,1,yes,no,no,yes,yes,no,yes,yes,4,2,2,5,2,3,21,10.014805877183774,11.464593016756652,13.423993190030508
MS,M,19,R,LE3,T,0,3,teacher,at_home,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,no,no,4,1,5,2,5,5,6,13.029893072772463,12.544576490239942,16.32706481296328
GP,F,22,U,LE3,T,4,1,teacher,teacher,reputation,mother,2,1,0,no,yes,yes,no,yes,no,yes,no,5,3,1,5,3,5,9,13.556745128536935,9.406915492722748,14.264609847291462
MS,F,20,R,GT3,A,4,1,other,services,home,other,2,3,2,no,no,yes,yes,yes,no,no,no,3,3,3,4,4,4,28,13.962688519490213,14.765028958432701,15.135617791242886
GP,F,19,R,LE3,T,4,3,at_home,health,other,father,2,4,2,yes,no,yes,no,yes,no,yes,yes,4,2,2,4,5,1,3,13.777075223413426,14.108210014828277,18.04750925141613
MS,M,17,R,LE3,T,3,0,health,health,course,other,1,4,1,no,yes,no,yes,no,no,yes,no,3,2,5,3,1,4,23,9.456447078927704,12.649681641414876,13.724609410734612
MS,M,16,R,GT3,A,4,0,health,teacher,course,mother,4,4,0,yes,yes,yes,yes,yes,no,yes,yes,5,1,5,1,2,2,23,15.548277057658566,8.840607351283078,15.004406341882115
MS,F,17,U,GT3,T,0,2,health,teacher,other,mother,3,4,0,yes,no,no,no,yes,no,no,yes,5,4,2,5,3,3,13,14.409840107915226,9.950090013458063,15.53523194953951
MS,F,22,U,GT3,T,4,3,at_home,other,course,other,2,1,0,no,no,yes,yes,yes,yes,no,yes,2,5,2,1,1,4,13,10.761929520957366,6.506224086564799,10.41590830532759
GP,F,22,R,GT3,A,1,0,other,services,other,mother,4,2,3,yes,yes,yes,yes,no,no,no,no,1,3,1,1,2,3,13,10.875240983848276,9.914692013770418,12.746353210996183
MS,F,16,U,LE3,T,4,3,at_home,teacher,course,father,2,4,1,yes,no,no,no,yes,yes,yes,yes,5,2,5,2,1,3,24,10.027375248410198,14.128102183750238,14.878108185727903
GP,M,22,R,GT3,T,3,4,teacher,health,course,other,1,3,3,yes,yes,no,yes,no,yes,yes,no,5,5,5,2,4,4,13,8.124470197467566,13.18728541277421,13.258418635336252
GP,M,17,R,GT3,A,1,1,teacher,health,course,father,1,3,0,yes,yes,no,no,yes,yes,yes,yes,3,5,4,5,4,4,21,13.998074566634816,12.479063883630108,14.964860086997852
GP,M,19,R,LE3,T,0,1,health,at_home,reputation,father,4,2,0,yes,no,yes,yes,yes,yes,yes,no,5,5,1,1,5,5,19,14.46618535291805,16.452897272754953,19.211636320508557
GP,M,19,R,LE3,A,0,1,services,teacher,reputation,mother,4,1,0,no,yes,yes,yes,no,yes,yes,no,4,4,2,3,1,1,17,9.221842614362206,12.913589247990371,12.473999074320037
MS,F,15,R,GT3,T,2,3,health,other,other,father,4,2,2,no,yes,no,yes,no,yes,yes,yes,2,2,2,1,4,5,14,8.304423866784067,10.268535487331516,12.390879197985953
GP,F,20,U,LE3,T,1,3,services,services,reputation,other,1,4,1,no,yes,no,no,yes,no,no,no,2,3,3,2,2,1,22,9.190389638921069,9.900194372200524,9.943612968893014
GP,F,22,R,GT3,A,2,2,at_home,other,other,father,1,1,2,yes,no,yes,yes,no,no,no,yes,4,2,2,1,5,4,25,12.330733896357536,11.304855099265763,10.329547011927433
GP,M,17,U,GT3,A,1,1,teacher,health,home,father,3,1,3,yes,yes,no,yes,no,no,yes,yes,5,1,5,4,3,1,18,7.854067875982029,10.6494149900984,9.559072820629405
MS,F,22,U,LE3,T,1,2,services,other,home,father,4,4,2,yes,no,no,yes,yes,yes,no,yes,1,3,2,4,1,2,26,15.383429939871748,14.85894448506837,15.768528095872227
MS,M,22,R,LE3,A,3,1,at_home,health,reputation,father,3,3,1,yes,yes,yes,yes,yes,yes,no,yes,5,2,5,3,4,5,12,15.20387323277488,13.26434154819057,16.8237819331541
